Year,Text
women of the country with a programme that is a challenge to reaction.

A peace of reconciliation

Victory has been achieved, and Labour claims no mean share in its
achievement. Not only have the workers supplied the vast majority of our
soldiers and sailors, and sustained the burden of war at home; the democratic
diplomacy which found expression in the War Aims of Labour has been one
of the most powerful factors in winning the war, and must be the most
powerful factor in the rebuilding of the world. The Peace which Labour
demands is a Peace of International Co-operation. It declares absolutely
against secret diplomacy and any form of economic war, and demands, as an
essential part of the Peace Treaty, an International Labour Charter
incorporated in the very structure of the League of Free Peoples.

Hands off democracy!

Labour welcomes the extension of liberty and democracy in Europe. It has
warned the Coalition that opposition towards the young democracies of the
Continent, and especially that intervention on the side of European reaction,
will be disastrous. Labour demands the immediate withdrawal of the Allied
forces from Russia. In the interest of world-democracy it stands for the
immediate restoration of the Workers International.

Freedom for Ireland

The principles which Labour acclaims as Allied war aims it will apply to our
own subject peoples. Freedom for Ireland and India it claims as democratic
rights, and it will extend to all subject peoples the right of self-determination

http://www. labour-party.org.uk/manifestos/1918/1918-labour-manifesto.shtml Page 1 of 4

1918 Labour Party Manifesto - 13/06/2024, 13:05

within the British Commonwealth of Free Nations. Labour's appeal to the
people is not a sectional appeal, unless an appeal which excludes only
militarists, profiteers, and place-hunters be regarded as sectional. It includes
all who are determined that the fruits of victory shall not be wasted in the
interests of riches or reaction. Especially does Labour appeal to two sections
of the community - to the soldiers and sailors who have fought the nation's
battles abroad, and to the men and women workers at home.

No conscription

The returning soldier or sailor will find himself once more a worker. His
cause is one with that of the workers at home. Civil and industrial liberties
have been largely suspended during the war; and soldier and worker want
their liberties back now. The Labour Party stands for the destruction of all
war-time measures in restraint of civil or industrial liberty, the repeal of the
Defence of the Realm Act, the complete abolition of Conscription, and the
release of all political prisoners. It stands for free citizenship, a Free
Parliament, for Free Speech, and against the domination of the Press by
sinister political influences.

The land for the workers

The Labour Party means to introduce large schemes of land reorganisation,
and it is fully aware that this can only be done in the teeth of the most
powerful vested interests. land nationalisation is a vital necessity; the land is
the people's and must be developed so as to afford a high standard of life to a
growing rural population not be subsidies or tariffs, but by scientific
methods, and the freeing of the soil from landlordism and reaction.

A million good houses

Labour demands a substantial and permanent improvement in the housing of
the whole people. At least a million new houses must be built at once at the
State's expense, and let at fair rents, and these houses must be fit for men and
women to live in. Labour will press for a really comprehensive Public
Health Act co-ordinating all health authorities, based on prevention rather
than cure, and free from servile or inquisitorial features. It will also press for
real public education, free and open to all, with maintenance scholarships
without distinction of class, and for justice to the teachers, upon whom
education finally depends.

A levy on capital

Labour will resist every attempt to place burdens upon the porr by indirect
taxation. Labour is firm against tariffs and for Free Trade. The way to deal
with unfair competition of imports made under sweated conditions is not by
tariffs, but by international labour legislation, which will make sweating

http://www. labour-party.org.uk/manifestos/1918/1918-labour-manifesto.shtml Page 2 of 4

1918 Labour Party Manifesto - 13/06/2024, 13:05

impossible. In paying the War Debt, Labour will place the burden on the
broadest backs by a special tax capital. Those who have made fortunes out
of the war must pay for the war; and Labour will insist upon heavily
graduated direct taxation with a raising of the exemption limit. That is what
Labour means by the Conscription of Wealth.

Industrial democracy

In industry, Labour demands the immediate nationalisation and democratic
control of vital public services, such as mines, railways, shipping,
armaments, and electric power; the fullest recognition and utmost extension
of trade unionism, both in private employment and in the public services. It
works for an altogether higher status for labour, which will mean also better
pay and conditions. The national minimum is a first step, and with this must
go the abolition of the menace of unemployment, the recognition of the
universal right to work or maintenance, the legal limitation of hours of
labour, and the drastic amendment of the Acts dealing with factory
conditions, safety, and workmen's compensation.

The real Women's Party

Labour has always stood for equal rights for both sexes, when other parties
were ignoring or persecuting women. In politics, the Labour Party stands for
complete adult suffrage, in industry for equal pay and the organisation of
men and women workers in one trade union movement. To the woman
worker and to the wife of the working man or the soldier, Labour can make a
confident appeal. Better pay and pensions for the workman or soldier mean
better conditions for his wife and family. There must be no sex party: the
Labour Party is the Women's Party. Woman is the Chancellor of the
Exchequer of the home. Labour stands with the Co-operative Movement in
its insistence on reasonable food prices and fair distribution, and in its
resistance to unfair taxation. The Labour Party will do all it can to aid co-
operators in their struggle for a democratic food organisation and against
unfair discrimination. Labour and Co-operation are a single movement, and
in the coming battle with reaction they must fight side by side.

Labour's programme is comprehensive and constructive. It is designed to
build a new world, and to build it by constitutional means. It is a programme
of national and international justice, founded on permanent democratic
principles. Even in an election as sinister as this, in which a large part of the
nation's youth is arbitrarily disfranchised by the Government, Labour
confidently appeals to the country to support its programme of social justice
and economic freedom.

http://www. labour-party.org.uk/manifestos/1918/1918-labour-manifesto.shtml Page 3 of 4

1918 Labour Party Manifesto - 13/06/2024, 13:05

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://www. labour-party.org.uk/manifestos/1918/1918-labour-manifesto.shtml Page 4 of 4

"
1923,"1923 Labour Party Manifesto - 13/06/2024, 13:05

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1923 > Manifesto text in a single long
file

1923 Labour Party General
Election Manifesto

 

Labour's appeal to the nation

After a year of barren effort, the Conservative Government has admitted its
inability to cope with the problem of Unemployment, and is seeking to cover
up its failure by putting the nation to the trouble and expense of an election
on the Tariff issue.

Tariffs no remedy

The Labour Party challenges the Tariff policy and the whole conception of
economic relations underlying it. Tariffs are not a remedy for
Unemployment. They are an impediment to the free interchange of goods
and services upon which civilised society rests. They foster a spirit of
profiteering, materialism and selfishness, poison the life of nations, lead to
corruption in politics, promote trusts and monopolies, and impoverish the
people. They perpetuate inequalities in the distrubution of the world's wealth
won by the labour of hands and brain. These inequalities the Labour Party
means to remove.

""Work or maintenance'

Unemployment is a recurrent feature of the existing economic system,
common to every industrialised country, irrespective of whether it has
Protection or Free Trade. The Labour Party alone has a positive remedy for
it. We denounce as wholly inadequate and belated the programme of winter
work produced by the Government, which offers the prospect of
employment for only a fraction of the unemployed in a few industries; and in
particular provides no relief for women and young persons.

Labour's unemployment programme

The Labour Party has urged the immediate adoption of national schemes of

http://www. labour-party.org.uk/manifestos/1923/1923-labour-manifesto.shtml Page 1 of 4

1923 Labour Party Manifesto - 13/06/2024, 13:05

productive work, with adequate maintenance for those who cannot obtain
employment to earn a livelihood for themselves and their families. The flow
of young workers from the schools must be regulated to relieve the pressure
on the labour market, and full educational training, with maintenance, must
be provided for the young people who are now exposed to the perils and
temptations of the streets.

The Labour Programme of National Work includes the establishment of a
National System of Electrical Power Supply, the development of Transport
by road, rail and canal, and the improvement of national resources by Land
Drainage, Reclamation, Afforestation, Town Planning and Housing
Schemes. These not only provide a remedy for the present distress, but are
also investments for the future.

Help for agriculture

Agriculture, as the largest and most essential of the nation's industries, calls
for special measures to restore its prosperity and to give the land workers a
living wage. The Labour Policy is one that will develop Agriculture and
raise the standard of rural life by establishing machinery for regulating
wages with an assured minimum, providing Credit and State Insurance
facilities for Farmers and Small-holders, promoting and assisting Co-
operative Methods in Production and Distribution, so as to help stabilise
prices, and make the fullest use of the results of research.

The Land

The Labour Party proposes to restore to the people their lost rights in the
Land, including Minerals, and to that end will work for re-equipping the
Land Valuation Department, securing to the community the economic rent of
land, and facilitating the acquisition of land for public use.

Peace among the nations

Labour's vision of an ordered world embraces the nations now torn with
enmity and strife. It stands, therefore, for a policy of International Co-
operation through a strengthened and enlarged League of Nations; the
settlement of disputes by conciliation and judicial arbitration; the immediate
calling by the British Government of an International Conference (including
Germany on terms of equality) to deal with the Revision of the Versailles
Treaty, especially Reparations and Debts; and the resumption of free
economic and diplomatic relations with Russia. This will pave the way for
Disarmament, the only security for the nations.

Relief for the taxpayer

Labour condemsn the failure of the Government to take steps to reduce the

http://www. labour-party.org.uk/manifestos/1923/1923-labour-manifesto.shtml Page 2 of 4

1923 Labour Party Manifesto - 13/06/2024, 13:05

dead-weight War Debt. No effective reform of the National Finances can be
attempted until the steady drain of a million pounds a day in interest is
stopped. Treasury experts, in evidence before a Select Committee of the
House of Commons, expressed their view that a Tax on War Fortunes could
be levied, and have therefore admitted both the principle and its
practicability. A labour Chancellor of the Exchequer, in consultation with
Treasury experts, would at once work out a scheme to impose a non-
recurring, graduated War Debt Redemption levy on all individual fortunes in
excess of £5,000, to be devoted solely to the reduction of the Debt.

The saving thus effected, with reduction of expenditure on armaments, other
sane economies, and the increased revenue derived from Taxation of Land
Values, would make it possible to reduce the burden of Income Tax, abolish
not only the Food Duties, but also the Entertainments Tax and the
Corporation Profits Tax, as well as provide money for necessary Social
Services.

The Commonwealth of Co-operative Service

The Labour Party is working for the creation of a Commonwealth Co-
operative Service. It believes that so far only a beginning has been made in
the scientific organisation of industry. It will apply in a practical spirit the
principle of Public Ownership and Control to the Mines, the Railway
Service and the Electrical Power Stations, and the development of Municipal
Services. It will make work safe for the worker by stricter Inspection of
Workplaces, and more effective measures against Accidents and Industrial
Diseases. It will provide fuller Compensation for the Workers and improve
the Standard of Hours.

The aged, the widows, the children

Labour Policy is directed to the creation of a humane and civilised society.
When Labour rules it will take care that little children shall not needlessly
die; it will give to every child equality of opportunity in Education; it will
make generous provision for the aged people, the widowed mothers, the sick
and disabled citizens.

It will abolish the slums, promptly build an adequate suppy of decent homes

and resist decontrol till the shortage is satisfied. It will place the Drink
Traffic under popular control.

Ex-service men's pensions

In accordance with its past actions inside and outside Parliament, the Labour
Party will do its utmost to see that the Ex-Service men and their dependants
have fair play.

Equal rights

http://www. labour-party.org.uk/manifestos/1923/1923-labour-manifesto.shtml Page 3 of 4

1923 Labour Party Manifesto - 13/06/2024, 13:05

Labour stands for equality between men and women: equal political and
legal rights, equal rights and privileges in parenthood, equal pay for equal
work.

Labour's practical idealism

The Labour Party submits to the men and women of the country its full
programme. It urges them to refuse to make this General Election a wretched
partisan squablle about mean and huckstering policies. It appeals to all
citizens to take a generous and courageous stand for right and justice, to
believe in the possibility of building up a sane and ordered society, to oppose
the squalid materialism that dominates the world today, and to hold out their
hands in friendship and good-will to the struggling people everywhere who
want only freedom, security and a happier life.

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://www. labour-party.org.uk/manifestos/1923/1923-labour-manifesto.shtml Page 4 of 4

"
1924,"1924 Labour Party Manifesto - 13/06/2024, 13:06

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1924 > Manifesto text in a single long
file

1924 Labour Party General
Election Manifesto

 

Labour's appeal to the people

The Labour Government, defeated in the House of Commons by a partisan
combination of Liberals and Tories, appeals to the People.

Its work for peace

The supreme need of this country, as of the whole world, is peace among the
nations, and the restoration of industry and commerce. For this the Labour
Government has continuously worked; and it has already achieved much. It
has insisted on maintaining, in the spirit as in the letter, the honourable
binding Treaty with the Irish Free State, no less than the agreement with the
Northern Province. It has maintained, and even strengthened the ties of
sentiment with the Dominions upon which, rather than upon either force or
any Imperialism, the very existence of the British Commonwealth of Nations
depends. The embittered relations between France and Germany left by the
disastrous tangles of preceding Governments have been improved, and
cordial relations established between this country and France. Important
steps have been taken at Geneva towards arbitration, security and general
disarmament.

The Labour Government has refused to exclude from this general
pacification the Russian people, with whom it is essential to resume our
trade in the interests of our unemployed and the country as a whole.

The Treaties with Russia, now awaiting ratification, open up for our fishing
industry thousands of square miles of additional fishing ground, and provide
for new outlets for our manufactures and our coal. When compensation has
been secured to British subjects for their losses in Russia, a third Treaty will
be negotiated providing for the raising (from private financiers) by Russia of
a loan the interest and sinking fund charges on which shall be guaranteed by
Great Britain. It is laid down in Article 12 of the General Treaty that 'the
amount, terms and conditions of the said loan and the purposes to which it
shall be applied,' shall be defined in the future Treaty referred to; and this

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 1 of 6

1924 Labour Party Manifesto - 13/06/2024, 13:06

Treaty ‘will not come into force until the necessary Parliamentary authority
for the guarantee of the said loan has been given.' Will you allow this work
for peace and prosperity to be stopped?

Its work for housing

In the face of much opposition, the Labour Government has passed into law
the Great Housing Charter, the statute that enabled the Local Authorities and
the Building Industry to engage in a fifteen years' uninterrupted building
programme, with such generous financial assistance as will provide:

1. Houses to let at low rents;
2. A separated dwelling for every family in the land;
3. Acontinuous policy of slum clearance and an ending of overcrowding.

Meanwhile, the Rent Restriction Acts (which practically expire next year)
have to be continued and amended; and the Bill to prevent profiteering in
building materials has still to be passed. It depends on the result of the
Election whether this great Housing Policy will be carried out.

The first Labour budget

In Finance, the Labour Government has achieved a marked success. Whilst
subjecting to the most competent examination its own and all other schemes
for dealing with the War Debt, and the terrible burden upon industry of a
tribute of £1,000,000 per day, the Labour Government has swept away no
less than £30,000 ,000 a year of taxes on the people's food (just six times as
much in eight months as the Liberal Government did in eight years). The
Labour Government has abolished the irritating Inhabited House Duty,
which no other Government had dared to do, and has taken the first step
towards the Abolition of the Entertainment Tax. It has found means to
change the whole spirit of the administration of the War Pensions Ministry,
to increase in many thousands of cases the pittance that the preceding
Governments had allotted to those Ex-Service Men who had suffered in the
War, and to the parents and dependants of those who have fallen. Above all,
the Labour Government has found means to stop the contemptible deduction
from the weekly ten shillings of many thousands of Old-Age Pensioners,
which the Liberal Government instituted, and the Unionist Government
persisted in maintaining; whilst nearly 200,000 more old people, to whom
the pension has been hitherto denied, have been admitted to the pension fold.
Is it not because the Liberals and Unionists fear the Second Labour Budget
that an excuse has been found for giving the Labour Government no further
chance?

What it has donw for education

Labour's intention to 'give every child equality of opportunity in education'
has begun to be fulfilled in the drastic change of the policy of the preceding

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 2 of 6

1924 Labour Party Manifesto - 13/06/2024, 13:06

Government. The Labour Government has been insisting on smaller classes,
an increase in the number of full-qualified teachers, new schools,
maintenance for the poorer children, more free places in Secondary Schools
and Scholarships to the University: all practical steps towards the ideal of
securing to all children the same chance of advanced education as the
children of the rich. The Labour Government has been steadily working
towards progressively higher qualifications for teachers; and, consequently,
of no niggardly treatment of teachers' salaries. Shall this policy now be
reversed?

Labour and the countryside

The Labour Government has consistently acted on the conviction that
Agricultural Prosperity is vital to the nation. It has helped the farmers by
laons to their Co-operative enterprises, by assistance to their Credit
Societies, by increasing grants for the development of the Sugar Beet
Industry in this country. It has included exceptional provision, on a generous
scale, for a vast increase of cottages in the rural areas at low rents, which
will lessen the evil of the tied-cottage system. It has, after great difficulty
and opposition from both the other Parties, got District Wages Committees
and an Agricultural Wages Board once more set up by law, in the hope of
obtaining and maintaining a decent Standard of Life for the labourers.

Unemployment

Apart from the necessary transformation of the whole industrial system, the
only practicable way of dealing satisfactorily with Unemployment is the
working out of a constructive policy of National Development, along with
the restoration, through pacification, of the production and trade of other
nations. It is along these lines that the Labour Government has made
progress. Meanwhile the Government has stimulated useful enterprises and
helped works of further relief in all directions. During the building and other
industries, the number of unemployed has been reduced by considerably
over 100,000, and, indeed, by many more when allowance is made for the
increased number of workers brought on to the live register as a result of the
extension of the Insurance Act, and who had not previously been recorded as
unemployed. The great works, notably in the way of building, involving
furnishing, etc., and in the way of iron and steel and engineering for the
electrical and mining developments, should provide work for a much larger
proportion of the unemployed. For the others, Labour's slogan still remains
""Work or Maintenance’. By the drastic revision of the Unemployment
Insurance Acts last Auguest, (1) the 'gap' has been abolished and the
Benefits made continuous: (2) the arbitrary refusals of Benefit by the
preceding Governments to something like one-fifth of the claimants have
been stopped; (3) the weekly amount has been increased by about 25 per
cent.

<

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 3 of 6

1924 Labour Party Manifesto - 13/06/2024, 13:06

The increased financial assistance provided by the Labour Government in
aid of approved schemes of work and the improvements in the
Unemployment Insurance Acts have together substantially relieved the
heavy burdens previously borne by Local Authorities.

What the Liberals and Tories have combined to
stop

All the Labour Government's other Bills before Parliament, great or small,
are now summarily brought to an end. The great Factory Acts Amendment
Bill, the Bill to prevent Profiteering in Building Materials, the Forty-Eight
Hours (Washington Convention) Bill, the Bill to secure Wages for
Shipwrecked Seamen, the Bill to prevent Frauds in the Sale of Bread, and
various others, are stopped. But besides these Bills actually introduced, the
work for the next Session has been going on steadily. The measures still in
one or other stage of preparation for the next twelve months include
proposals for:

e The reorganisation of the whole Mining Industry (in conjunction with
By-Products and Power Stations), on the lines of National Ownership,
equitable treatment for all interests concerned, security both for the
taxpayer and the consumer, wages under properly-arrived at National
Agreements, and participation in administration, both national and
local, by the various grades and sections of those engaged in the
industry.

e The continuance and amendment of the Rent Restriction Acts with a
view to providing adequate protection for tenants.

e Adrastic dealing with the whole Poor Law System, so as to secure the
economy and efficiency of unified administration in each locality, and
complete and honourable provision for the sick and infirm, the aged,
the children and the able-bodied unemployed apart from the
workhouse and pauperism.

e The Taxation of Land Values and such a dealing with Agricultural
Land as will secure its maximum productivity, and with urban land
and building sites as would protect the occupying tenants and secure
its best use.

¢ The development of the present chaotic Electrical Generating Stations
on the lines of a National System, uniformly standardised with
transmission lines linking up town and country, with the primary
object of providing cheap power for industry - instead of profit for
shareholders - and cheap and convenient light for house-holders
everywhere.

e With regard to the measures to be taken in the national interest against
the evils and burdens connected with the administration of the
Licensing Laws, the first step, it is clear, in the present state of the
controversy, is a full and impartial inquiry by a Royal Commission.
This is the Labour Government had arranged to begin next Spring.

In addition to these measures the following proposals are being considered

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 4 of 6

1924 Labour Party Manifesto - 13/06/2024, 13:06

and prepared for:

e Asystematic reorganisation, in the national interest and on terms fair
to all concerned, of the whole system of Transport, including the more
rapid development of an entirely Unified Railway and Canal System
in National Ownership and under exclusively Public Control, with
fuller use of electric power and in more intimate connection not only
with the ports, but also with the increasing road motor service.
Without greater and cheaper transport facilities, the British producers
of every kind will find it ever harder to compete with their rivals.

¢ The Prevention of Profiteering and Exploitation by Rings, Trusts and
Monopolies, not merely in building materials, but also in foodstuffs
and household necessities, in conjunction with concerted
arrangements with the Dominions and other Governments for bulk
importing and systematically organised distribution from port to
consumer, as a means towards establishing reasonable and stable
prices.

¢ A substantial improvement of the Workmen's Compensation Acts,
which the Tory Government denied to injured workers.

e The Prevention of Excessive Hours of Labour in the distributive trade,
in the mercantile marine, and in other occupations (including those of
women) omitted from the Washington Forty-Eight-Hours Convention:
together with proposals for such a further development of the system
of Trade Boards as will prevent the still existing evils of Sweating.

e Whether any of these projects can be proceeded with, and which of
them, and to what extent, depends on the electors' response to the
present appeal.

A word to the women

Is it nothing to you that the Labour Government's successful work for Peace,
its great programme of Housebuilding, its sweeping reduction in the Food
Taxes, its forward policy for the Children's Chooling, should be interrupted,
and that the Bill giving Votes for Women at 21 on the same terms as men
should be killed? But there is more to be said. During the past few months
the detailed working out of the Labour Government's measure giving
Pensions for Widowed Mothers with Children has reached an advanced
stage. In the very next Session it was to have been laid before Parliament.
This is what the Liberals and Tories have combined to stop. It depends on
this Election whether the Labour Government can secure this great reform.

The spirit that giveth life

It is along such lines as those marked out in this Appeal, and in the spirit of
public service herein indicated, that the Labour Party, in conformity with its
consistent public declarations, would work in Parliament towards the
transformation, gradual as it must be, of the existing economic and industrial
system into a genuine Commonwealth of Labour. We know the facts. We
realise the difficulties. The path to our goal is long and narrow and

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 5 of 6

1924 Labour Party Manifesto - 13/06/2024, 13:06

